          #time              R       pressure    -rho*dphi*R             ux             uy             uz             vx             vy             vz
  0.1723309E-03  0.5164708E-01  0.1489727E+06  0.1114188E+06  0.0000000E+00  0.0000000E+00  0.2426015E-06  0.0000000E+00  0.0000000E+00  0.2621675E-02
  0.1738815E-03  0.5171845E-01  0.1482153E+06  0.1110731E+06  0.0000000E+00  0.0000000E+00  0.2466828E-06  0.0000000E+00  0.0000000E+00  0.2641172E-02
  0.1754363E-03  0.5178987E-01  0.1474623E+06  0.1107285E+06  0.0000000E+00  0.0000000E+00  0.2508057E-06  0.0000000E+00  0.0000000E+00  0.2660680E-02
  0.1769954E-03  0.5186133E-01  0.1467138E+06  0.1103851E+06  0.0000000E+00  0.0000000E+00  0.2549704E-06  0.0000000E+00  0.0000000E+00  0.2680200E-02
  0.1785589E-03  0.5193285E-01  0.1459696E+06  0.1100428E+06  0.0000000E+00  0.0000000E+00  0.2591771E-06  0.0000000E+00  0.0000000E+00  0.2699731E-02
  0.1801266E-03  0.5200441E-01  0.1452299E+06  0.1097017E+06  0.0000000E+00  0.0000000E+00  0.2634261E-06  0.0000000E+00  0.0000000E+00  0.2719275E-02
  0.1816987E-03  0.5207601E-01  0.1444944E+06  0.1093617E+06  0.0000000E+00  0.0000000E+00  0.2677175E-06  0.0000000E+00  0.0000000E+00  0.2738830E-02
  0.1832751E-03  0.5214767E-01  0.1437633E+06  0.1090228E+06  0.0000000E+00  0.0000000E+00  0.2720516E-06  0.0000000E+00  0.0000000E+00  0.2758397E-02
  0.1848558E-03  0.5221937E-01  0.1430365E+06  0.1086851E+06  0.0000000E+00  0.0000000E+00  0.2764286E-06  0.0000000E+00  0.0000000E+00  0.2777978E-02
  0.1864409E-03  0.5229111E-01  0.1423139E+06  0.1083484E+06  0.0000000E+00  0.0000000E+00  0.2808487E-06  0.0000000E+00  0.0000000E+00  0.2797571E-02
  0.1880303E-03  0.5236291E-01  0.1415955E+06  0.1080129E+06  0.0000000E+00  0.0000000E+00  0.2853120E-06  0.0000000E+00  0.0000000E+00  0.2817176E-02
  0.1896241E-03  0.5243475E-01  0.1408814E+06  0.1076785E+06  0.0000000E+00  0.0000000E+00  0.2898189E-06  0.0000000E+00  0.0000000E+00  0.2836796E-02
  0.1912223E-03  0.5250664E-01  0.1401714E+06  0.1073452E+06  0.0000000E+00  0.0000000E+00  0.2943696E-06  0.0000000E+00  0.0000000E+00  0.2856428E-02
  0.1928249E-03  0.5257857E-01  0.1394655E+06  0.1070130E+06  0.0000000E+00  0.0000000E+00  0.2989642E-06  0.0000000E+00  0.0000000E+00  0.2876075E-02
  0.1944318E-03  0.5265055E-01  0.1387638E+06  0.1066819E+06  0.0000000E+00  0.0000000E+00  0.3036030E-06  0.0000000E+00  0.0000000E+00  0.2895735E-02
  0.1960432E-03  0.5272258E-01  0.1380662E+06  0.1063519E+06  0.0000000E+00  0.0000000E+00  0.3082863E-06  0.0000000E+00  0.0000000E+00  0.2915409E-02
  0.1976590E-03  0.5279466E-01  0.1373726E+06  0.1060230E+06  0.0000000E+00  0.0000000E+00  0.3130141E-06  0.0000000E+00  0.0000000E+00  0.2935098E-02
  0.1992792E-03  0.5286678E-01  0.1366831E+06  0.1056951E+06  0.0000000E+00  0.0000000E+00  0.3177868E-06  0.0000000E+00  0.0000000E+00  0.2954801E-02
